condition,status,model_name,prompt_style,no_adapter,adapter_dir,n,em,f1,malformed_count,malformed_rate,delta_em_vs_baseline,delta_f1_vs_baseline,metrics_path
tennis_only_full600_test224,AVAILABLE,Qwen/Qwen2.5-0.5B-Instruct,tiser,False,C:\Users\aless\OneDrive\Desktop\dnlp\tiser_temporal_reasoning_extension\tiser_temporal_reasoning_extension\model\tiser_tennis_full600_smoke\adapter,224,0.4642857142857143,0.5164143767938412,0,0.0,,,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/results/tennis_domain_adaptation/scored/tennis_only_full600_test224/metrics.json
tennis_only_trace50_smoke_100,AVAILABLE,Qwen/Qwen2.5-0.5B-Instruct,tiser,False,C:\Users\aless\OneDrive\Desktop\dnlp\tiser_temporal_reasoning_extension\tiser_temporal_reasoning_extension\model\tiser_tennis_smoke\adapter,100,0.33,0.3766949716949717,1,0.01,,,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/results/tennis_domain_adaptation/scored/tennis_only_trace50_smoke_100/metrics.json
tennis_from_tiser_e1_lr0.0001_bs4_ga4_r16_a32_d0p05_20260616_095331_002,AVAILABLE,Qwen/Qwen2.5-7B-Instruct,tiser,False,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/model/tennis_from_tiser_e1_lr0.0001_bs4_ga4_r16_a32_d0p05_20260616_095331_002/adapter,224,0.6473214285714286,0.7787096488803151,0,0.0,,,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/results/tennis_domain_adaptation/scored/tennis_from_tiser_e1_lr0.0001_bs4_ga4_r16_a32_d0p05_20260616_095331_002/metrics.json
tennis_from_tiser_e1_lr0.0001_bs4_ga4_r16_a32_d0p0_20260616_095331_001,AVAILABLE,Qwen/Qwen2.5-7B-Instruct,tiser,False,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/model/tennis_from_tiser_e1_lr0.0001_bs4_ga4_r16_a32_d0p0_20260616_095331_001/adapter,224,0.6473214285714286,0.7787096488803151,0,0.0,,,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/results/tennis_domain_adaptation/scored/tennis_from_tiser_e1_lr0.0001_bs4_ga4_r16_a32_d0p0_20260616_095331_001/metrics.json
tennis_from_tiser_e1_lr0.0001_bs4_ga8_r16_a32_d0p05_20260616_095331_004,AVAILABLE,Qwen/Qwen2.5-7B-Instruct,tiser,False,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/model/tennis_from_tiser_e1_lr0.0001_bs4_ga8_r16_a32_d0p05_20260616_095331_004/adapter,224,0.5669642857142857,0.6815494617031433,0,0.0,,,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/results/tennis_domain_adaptation/scored/tennis_from_tiser_e1_lr0.0001_bs4_ga8_r16_a32_d0p05_20260616_095331_004/metrics.json
tennis_from_tiser_e1_lr0.0001_bs4_ga8_r16_a32_d0p0_20260616_095331_003,AVAILABLE,Qwen/Qwen2.5-7B-Instruct,tiser,False,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/model/tennis_from_tiser_e1_lr0.0001_bs4_ga8_r16_a32_d0p0_20260616_095331_003/adapter,224,0.5669642857142857,0.6815494617031433,0,0.0,,,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/results/tennis_domain_adaptation/scored/tennis_from_tiser_e1_lr0.0001_bs4_ga8_r16_a32_d0p0_20260616_095331_003/metrics.json
tennis_from_tiser_e1_lr0.0002_bs4_ga4_r16_a32_d0p05_20260616_095331_006,AVAILABLE,Qwen/Qwen2.5-7B-Instruct,tiser,False,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/model/tennis_from_tiser_e1_lr0.0002_bs4_ga4_r16_a32_d0p05_20260616_095331_006/adapter,224,0.6919642857142857,0.8212884497004224,0,0.0,,,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/results/tennis_domain_adaptation/scored/tennis_from_tiser_e1_lr0.0002_bs4_ga4_r16_a32_d0p05_20260616_095331_006/metrics.json
tennis_from_tiser_e1_lr0.0002_bs4_ga4_r16_a32_d0p0_20260616_095331_005,AVAILABLE,Qwen/Qwen2.5-7B-Instruct,tiser,False,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/model/tennis_from_tiser_e1_lr0.0002_bs4_ga4_r16_a32_d0p0_20260616_095331_005/adapter,224,0.6741071428571429,0.8094682386614612,0,0.0,,,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/results/tennis_domain_adaptation/scored/tennis_from_tiser_e1_lr0.0002_bs4_ga4_r16_a32_d0p0_20260616_095331_005/metrics.json
tennis_from_tiser_e1_lr0.0002_bs4_ga8_r16_a32_d0p05_20260616_104036_006,AVAILABLE,Qwen/Qwen2.5-7B-Instruct,tiser,False,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/model/tennis_from_tiser_e1_lr0.0002_bs4_ga8_r16_a32_d0p05_20260616_104036_006/adapter,224,0.6071428571428571,0.7408449968239337,0,0.0,,,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/results/tennis_domain_adaptation/scored/tennis_from_tiser_e1_lr0.0002_bs4_ga8_r16_a32_d0p05_20260616_104036_006/metrics.json
tennis_from_tiser_e1_lr0.0002_bs4_ga8_r16_a32_d0p0_20260616_095331_007,AVAILABLE,Qwen/Qwen2.5-7B-Instruct,tiser,False,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/model/tennis_from_tiser_e1_lr0.0002_bs4_ga8_r16_a32_d0p0_20260616_095331_007/adapter,224,0.6071428571428571,0.7408449968239337,0,0.0,,,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/results/tennis_domain_adaptation/scored/tennis_from_tiser_e1_lr0.0002_bs4_ga8_r16_a32_d0p0_20260616_095331_007/metrics.json
tennis_from_tiser_e1_lr5e-05_bs4_ga4_r16_a32_d0p05_20260616_104036_001,AVAILABLE,Qwen/Qwen2.5-7B-Instruct,tiser,False,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/model/tennis_from_tiser_e1_lr5e-05_bs4_ga4_r16_a32_d0p05_20260616_104036_001/adapter,224,0.5669642857142857,0.6811774378936196,0,0.0,,,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/results/tennis_domain_adaptation/scored/tennis_from_tiser_e1_lr5e-05_bs4_ga4_r16_a32_d0p05_20260616_104036_001/metrics.json
tennis_from_tiser_e1_lr5e-05_bs4_ga8_r16_a32_d0p05_20260616_104036_002,AVAILABLE,Qwen/Qwen2.5-7B-Instruct,tiser,False,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/model/tennis_from_tiser_e1_lr5e-05_bs4_ga8_r16_a32_d0p05_20260616_104036_002/adapter,224,0.5401785714285714,0.6565010530600707,0,0.0,,,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/results/tennis_domain_adaptation/scored/tennis_from_tiser_e1_lr5e-05_bs4_ga8_r16_a32_d0p05_20260616_104036_002/metrics.json
tennis_from_tiser_e2_lr0.0001_bs4_ga4_r16_a32_d0p05_20260616_104036_009,AVAILABLE,Qwen/Qwen2.5-7B-Instruct,tiser,False,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/model/tennis_from_tiser_e2_lr0.0001_bs4_ga4_r16_a32_d0p05_20260616_104036_009/adapter,224,0.7098214285714286,0.8357760454380181,0,0.0,,,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/results/tennis_domain_adaptation/scored/tennis_from_tiser_e2_lr0.0001_bs4_ga4_r16_a32_d0p05_20260616_104036_009/metrics.json
tennis_from_tiser_e2_lr0.0001_bs4_ga8_r16_a32_d0p05_20260616_104036_010,AVAILABLE,Qwen/Qwen2.5-7B-Instruct,tiser,False,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/model/tennis_from_tiser_e2_lr0.0001_bs4_ga8_r16_a32_d0p05_20260616_104036_010/adapter,224,0.6473214285714286,0.7847011902336986,0,0.0,,,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/results/tennis_domain_adaptation/scored/tennis_from_tiser_e2_lr0.0001_bs4_ga8_r16_a32_d0p05_20260616_104036_010/metrics.json
tennis_from_tiser_e2_lr0.0002_bs4_ga4_r16_a32_d0p05_20260616_104036_011,AVAILABLE,Qwen/Qwen2.5-7B-Instruct,tiser,False,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/model/tennis_from_tiser_e2_lr0.0002_bs4_ga4_r16_a32_d0p05_20260616_104036_011/adapter,224,0.7321428571428571,0.8558069817635972,0,0.0,,,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/results/tennis_domain_adaptation/scored/tennis_from_tiser_e2_lr0.0002_bs4_ga4_r16_a32_d0p05_20260616_104036_011/metrics.json
tennis_from_tiser_e2_lr0.0002_bs4_ga8_r16_a32_d0p05_20260616_104036_012,AVAILABLE,Qwen/Qwen2.5-7B-Instruct,tiser,False,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/model/tennis_from_tiser_e2_lr0.0002_bs4_ga8_r16_a32_d0p05_20260616_104036_012/adapter,224,0.6964285714285714,0.8275635981630708,0,0.0,,,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/results/tennis_domain_adaptation/scored/tennis_from_tiser_e2_lr0.0002_bs4_ga8_r16_a32_d0p05_20260616_104036_012/metrics.json
tennis_from_tiser_e2_lr5e-05_bs4_ga4_r16_a32_d0p05_20260616_104036_007,AVAILABLE,Qwen/Qwen2.5-7B-Instruct,tiser,False,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/model/tennis_from_tiser_e2_lr5e-05_bs4_ga4_r16_a32_d0p05_20260616_104036_007/adapter,224,0.6651785714285714,0.8054404955712181,0,0.0,,,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/results/tennis_domain_adaptation/scored/tennis_from_tiser_e2_lr5e-05_bs4_ga4_r16_a32_d0p05_20260616_104036_007/metrics.json
tennis_from_tiser_e2_lr5e-05_bs4_ga8_r16_a32_d0p05_20260616_104036_008,AVAILABLE,Qwen/Qwen2.5-7B-Instruct,tiser,False,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/model/tennis_from_tiser_e2_lr5e-05_bs4_ga8_r16_a32_d0p05_20260616_104036_008/adapter,224,0.5580357142857143,0.6791933109094925,0,0.0,,,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/results/tennis_domain_adaptation/scored/tennis_from_tiser_e2_lr5e-05_bs4_ga8_r16_a32_d0p05_20260616_104036_008/metrics.json
tennis_from_tiser_e3_lr0.0001_bs4_ga4_r16_a32_d0p05_20260616_104036_015,AVAILABLE,Qwen/Qwen2.5-7B-Instruct,tiser,False,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/model/tennis_from_tiser_e3_lr0.0001_bs4_ga4_r16_a32_d0p05_20260616_104036_015/adapter,224,0.7276785714285714,0.846599423448896,0,0.0,,,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/results/tennis_domain_adaptation/scored/tennis_from_tiser_e3_lr0.0001_bs4_ga4_r16_a32_d0p05_20260616_104036_015/metrics.json
tennis_from_tiser_e3_lr0.0001_bs4_ga8_r16_a32_d0p05_20260616_104036_016,AVAILABLE,Qwen/Qwen2.5-7B-Instruct,tiser,False,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/model/tennis_from_tiser_e3_lr0.0001_bs4_ga8_r16_a32_d0p05_20260616_104036_016/adapter,224,0.7008928571428571,0.8360590090022316,0,0.0,,,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/results/tennis_domain_adaptation/scored/tennis_from_tiser_e3_lr0.0001_bs4_ga8_r16_a32_d0p05_20260616_104036_016/metrics.json
tennis_from_tiser_e3_lr0.0002_bs4_ga8_r16_a32_d0p05_20260616_104036_018,AVAILABLE,Qwen/Qwen2.5-7B-Instruct,tiser,False,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/model/tennis_from_tiser_e3_lr0.0002_bs4_ga8_r16_a32_d0p05_20260616_104036_018/adapter,224,0.7276785714285714,0.8465456082165094,0,0.0,,,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/results/tennis_domain_adaptation/scored/tennis_from_tiser_e3_lr0.0002_bs4_ga8_r16_a32_d0p05_20260616_104036_018/metrics.json
tennis_from_tiser_e3_lr5e-05_bs4_ga4_r16_a32_d0p05_20260616_104036_013,AVAILABLE,Qwen/Qwen2.5-7B-Instruct,tiser,False,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/model/tennis_from_tiser_e3_lr5e-05_bs4_ga4_r16_a32_d0p05_20260616_104036_013/adapter,224,0.7098214285714286,0.8381118173050399,0,0.0,,,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/results/tennis_domain_adaptation/scored/tennis_from_tiser_e3_lr5e-05_bs4_ga4_r16_a32_d0p05_20260616_104036_013/metrics.json
tennis_from_tiser_e3_lr5e-05_bs4_ga8_r16_a32_d0p05_20260616_104036_014,AVAILABLE,Qwen/Qwen2.5-7B-Instruct,tiser,False,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/model/tennis_from_tiser_e3_lr5e-05_bs4_ga8_r16_a32_d0p05_20260616_104036_014/adapter,224,0.6205357142857143,0.7522693363732733,0,0.0,,,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/results/tennis_domain_adaptation/scored/tennis_from_tiser_e3_lr5e-05_bs4_ga8_r16_a32_d0p05_20260616_104036_014/metrics.json
tennis_from_tiser_qwen7b_20260616_093822,AVAILABLE,Qwen/Qwen2.5-7B-Instruct,tiser,False,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/model/tennis_from_tiser_qwen7b_20260616_093822/adapter,224,0.7098214285714286,0.820374693317916,0,0.0,,,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/results/tennis_domain_adaptation/scored/tennis_from_tiser_qwen7b_20260616_093822/metrics.json
